"Taxon","Final Brain Weight (g)","Final Body Weight (g)"
"Saimiri_boliviensis",25.7399179375743,707.225
"Saimiri_oerstedii",23.108472268718,670
"Saimiri_sciureus",24.1417310745713,811.49
"Semnopithecus_entellus",113.780377809759,11398.7633333333
"Symphalangus_syndactylus",128.889137849375,9246.33333333333
"Tarsius_bancanus",3.24983952659971,104.83
"Tarsius_syrichta",3.47963553155556,107.536666666667
"Theropithecus_gelada",136.207323942857,14788.0366666667
"Trachypithecus_cristatus",59.147514037723,5453.93666666667
"Trachypithecus_johnii",86.4818938942256,11098.36
"Trachypithecus_obscurus",63.6625487692047,5775.96
"Trachypithecus_phayrei",76.7363010917308,8040.86
"Trachypithecus_pileatus",107.371918649846,10153.31
"Trachypithecus_vetulus",63.4990019329467,7705.69333333333
"Varecia_variegata_variegata",32.6393480022456,3335
